,DATE,SEX,AGE,AREA,INCOME,SEOUL,GYEONGI,BUSAN,CHUNGNAM,CHUNGBUK,GYEONGNAM,GYEONGBUK,JEONNAM,JEONBUK,GANGWON,JEJU
0,20221003,1,4,14,2,2,3,2,1,2,1,0,0,2,3,4
1,20221003,1,4,14,3,3,3,2,2,3,2,2,2,2,4,4
2,20221003,1,2,2,3,3,2,3,2,2,2,2,2,2,2,4
3,20221003,1,2,2,2,2,2,1,2,1,2,2,3,1,3,4
4,20221003,1,1,14,1,0,2,3,2,2,1,2,2,2,3,4
5,20221003,1,1,14,1,4,2,3,3,2,2,1,3,3,4,4
6,20221003,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2
7,20221003,1,1,2,2,1,2,2,1,2,3,1,2,1,3,2
8,20221003,1,1,2,2,4,3,3,3,2,3,2,3,3,3,4
9,20221003,1,0,14,3,4,2,0,4,2,1,2,4,3,3,4
10,20221003,0,4,7,2,4,1,2,2,2,2,4,1,1,4,4
11,20221003,0,4,8,4,2,2,3,2,2,2,2,3,3,3,1
12,20221003,0,4,8,3,2,3,3,3,2,2,2,3,3,3,2
13,20221003,0,4,8,2,0,2,2,2,3,2,3,2,3,3,2
14,20221003,0,4,8,1,2,3,3,2,2,2,2,2,2,4,4
15,20221003,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3
16,20221003,0,2,2,4,3,2,3,3,3,2,2,3,3,4,4
17,20221003,0,1,7,1,1,0,0,1,1,0,3,1,1,4,3
19,20221003,0,1,14,3,3,2,3,1,2,3,4,2,2,3,4
20,20221003,0,1,14,2,1,1,3,2,1,2,3,2,1,3,2
21,20221003,0,0,7,3,3,3,1,2,2,2,3,2,2,3,1
24,20221003,0,0,1,2,0,0,2,0,0,0,4,0,2,4,4
26,20221003,0,0,1,2,1,2,2,1,2,1,1,1,1,2,2
27,20221003,0,0,1,3,2,1,3,2,1,2,3,2,1,2,2
28,20221003,0,0,14,4,3,2,2,3,3,3,2,3,2,1,3
29,20221003,1,2,8,3,2,1,0,2,3,2,0,2,3,4,4
30,20221003,0,0,8,2,2,2,3,2,2,2,2,0,0,2,3
31,20221003,1,2,8,3,2,2,2,2,1,3,3,3,2,3,3
32,20221003,0,1,8,2,0,0,3,0,2,0,0,1,0,3,1
33,20221003,1,1,8,3,1,1,4,0,2,3,3,2,2,2,4
34,20221003,1,4,8,4,2,2,3,2,2,1,1,2,2,3,3
35,20221003,0,1,8,4,2,2,2,2,2,2,2,2,2,3,4
36,20221003,1,2,8,4,2,2,3,2,3,3,1,3,2,3,3
37,20221003,1,2,8,4,2,2,3,2,2,2,2,2,2,2,4
38,20221003,1,4,8,3,0,1,1,1,1,1,1,1,1,1,2
39,20221003,0,3,8,2,2,2,2,2,2,2,2,2,2,2,0
40,20221003,0,1,8,2,0,2,2,2,2,2,2,2,2,2,3
41,20221003,1,3,8,4,2,3,3,2,2,3,2,2,2,4,4
42,20221003,0,1,1,4,2,2,2,3,2,2,3,3,3,2,3
43,20221003,1,1,1,3,2,2,1,1,1,3,3,2,2,2,2
44,20221003,0,3,1,2,1,2,1,3,2,2,2,3,3,3,3
45,20221003,0,2,1,2,0,3,2,2,2,2,2,2,3,3,4
46,20221003,0,1,5,2,3,2,3,2,2,2,2,2,2,3,1
48,20221003,0,4,5,3,1,0,3,0,2,0,2,1,0,3,3
50,20221003,1,3,8,3,3,3,2,1,2,1,1,2,2,3,1
51,20221003,1,0,3,1,3,3,1,2,2,2,2,2,2,3,0
52,20221003,1,3,0,4,2,2,3,3,2,2,2,3,3,2,1
53,20221003,0,4,0,3,2,1,3,1,1,0,2,1,2,3,3
54,20221003,1,4,1,3,1,3,3,2,3,2,2,2,3,3,2
55,20221003,1,3,2,3,2,1,2,2,2,2,2,3,2,2,3
56,20221003,1,2,1,3,2,2,3,3,3,3,3,3,3,2,4
57,20221003,0,0,12,4,3,2,2,2,1,1,1,0,2,3,4
58,20221003,0,2,14,4,2,3,3,2,2,3,3,2,2,4,4
59,20221003,1,1,7,2,3,2,2,2,3,4,4,3,2,0,3
60,20221003,0,0,11,1,1,0,2,0,0,0,0,4,2,0,2
61,20221003,1,0,7,3,2,2,2,2,2,2,2,2,4,3,2
63,20221003,0,2,8,4,2,1,2,1,3,0,0,1,1,1,2
64,20221003,1,0,4,1,3,3,3,3,2,2,1,2,4,3,3
65,20221003,1,3,1,4,2,2,2,2,2,3,2,2,2,3,4
66,20221003,0,1,1,4,2,3,3,2,2,2,2,1,3,2,4
67,20221003,1,0,7,2,3,2,2,2,2,2,2,2,2,3,3
68,20221003,0,1,1,2,2,2,2,2,2,3,3,1,3,3,3
69,20221003,0,1,0,4,3,0,0,0,2,1,0,1,2,1,2
70,20221003,0,4,1,2,2,0,1,0,0,0,1,0,0,1,0
71,20221003,0,4,6,1,3,2,1,2,2,1,1,1,1,3,2
72,20221003,0,3,9,3,4,4,4,4,4,4,0,4,4,4,4
73,20221003,1,0,3,2,2,1,3,2,1,3,1,2,1,3,2
74,20221003,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
75,20221003,0,0,8,3,2,2,2,2,2,2,2,2,2,2,2
77,20221003,0,2,1,2,2,2,3,2,3,3,3,2,3,3,4
78,20221003,0,4,11,2,3,2,2,2,2,3,2,2,2,4,1
79,20221003,0,2,11,3,3,2,2,2,2,2,2,1,2,2,1
80,20221003,1,4,4,2,2,2,2,0,1,2,0,4,3,2,3
81,20221003,0,0,10,1,2,2,3,2,3,1,1,2,2,3,4
82,20221003,0,1,13,1,3,2,4,2,2,2,2,2,2,4,3
83,20221003,0,2,8,3,2,3,4,2,2,3,2,2,2,3,4
84,20221003,1,2,3,4,2,2,1,2,2,1,2,3,2,1,1
85,20221003,0,0,8,1,4,1,1,1,1,1,1,1,4,1,1
87,20221003,0,2,4,3,2,2,2,2,2,2,2,2,2,2,3
88,20221003,1,3,3,2,3,1,1,2,1,2,2,3,2,2,1
89,20221003,1,3,1,2,2,1,3,2,3,2,1,3,2,3,1
90,20221003,0,3,1,2,0,0,3,3,2,2,1,3,3,2,2
91,20221003,1,2,8,3,2,1,3,3,3,3,3,3,3,3,3
92,20221003,0,0,11,1,3,2,2,3,2,3,2,2,3,2,1
93,20221003,1,4,7,3,2,3,2,1,2,2,1,2,1,2,3
94,20221003,0,4,1,4,2,3,3,1,1,2,1,4,4,4,2
96,20221003,1,4,9,2,2,4,3,2,2,2,2,1,1,3,4
97,20221003,1,3,15,4,2,1,3,2,2,2,1,2,2,2,4
98,20221003,1,0,1,1,3,2,2,2,2,2,2,2,2,2,4
99,20221003,0,0,10,4,2,2,4,2,2,3,3,3,3,3,4
100,20221003,1,3,5,4,2,3,2,2,2,1,1,3,3,4,4
101,20221003,1,2,12,2,0,0,0,0,3,0,0,1,0,4,4
102,20221003,1,4,8,4,2,2,2,2,2,3,2,3,3,2,2
103,20221003,0,4,1,4,2,0,3,1,1,2,1,2,2,3,2
104,20221003,1,3,5,2,2,1,2,2,2,2,2,2,2,4,2
105,20221003,1,3,1,4,3,2,3,3,2,3,2,2,3,2,2
106,20221003,0,3,1,2,1,1,2,2,2,1,1,3,3,2,2
107,20221003,0,4,0,3,3,2,2,2,1,2,2,2,3,1,3
108,20221003,1,2,1,2,1,2,2,2,2,2,2,2,2,3,1
109,20221003,1,2,7,2,4,2,2,2,1,2,0,1,1,3,2
110,20221003,1,4,8,1,2,2,1,1,2,1,2,1,0,1,1
111,20221003,0,2,1,3,2,0,4,0,0,0,0,0,0,4,4
113,20221003,0,1,1,4,1,3,3,2,2,2,2,2,2,3,4
114,20221003,0,1,1,1,2,2,2,0,0,0,0,0,0,0,4
115,20221003,0,1,1,4,1,3,3,2,2,2,4,4,3,3,4
116,20221003,0,3,15,2,2,2,3,2,2,2,2,2,2,3,3
117,20221003,1,1,8,2,0,0,2,2,3,3,2,2,3,3,2
118,20221003,1,2,15,3,3,3,3,2,3,2,3,2,3,2,3
119,20221003,1,0,4,4,3,2,3,2,2,3,3,2,2,3,3
120,20221003,1,0,10,1,2,2,2,2,2,2,2,2,2,2,2
121,20221003,1,3,1,4,3,2,3,2,3,3,1,2,0,3,3
122,20221003,1,0,7,4,2,4,3,3,3,3,2,3,3,4,4
123,20221003,1,0,6,4,1,2,2,0,2,2,2,2,2,2,1
124,20221003,1,2,4,3,3,2,3,2,2,2,2,2,2,2,4
125,20221003,1,0,1,2,3,3,3,2,2,2,1,3,2,4,4
126,20221003,1,2,5,2,3,2,2,2,2,3,3,3,2,4,2
127,20221003,1,2,1,2,4,4,4,4,4,3,4,3,3,4,4
128,20221003,0,1,2,1,2,2,3,2,2,3,2,3,2,2,2
129,20221003,0,3,1,4,3,2,2,2,2,2,2,2,2,3,3
130,20221003,1,2,6,1,2,0,2,2,2,2,0,2,4,4,2
131,20221003,0,3,2,4,1,1,2,3,3,3,1,3,0,3,4
132,20221003,1,2,11,1,2,2,2,2,2,1,2,3,2,3,4
133,20221003,1,3,8,1,2,2,1,2,2,1,2,1,2,1,2
135,20221003,1,0,1,1,3,2,1,0,2,2,0,2,0,2,2
136,20221003,1,3,2,3,2,3,3,2,2,2,2,1,1,3,3
137,20221003,0,3,1,2,2,2,3,2,2,1,1,2,2,3,4
138,20221003,1,3,8,3,3,2,3,2,2,2,2,2,2,2,3
139,20221003,1,2,11,2,2,2,2,2,2,2,2,2,2,2,3
140,20221003,1,1,4,3,1,0,2,0,0,0,2,4,0,3,4
141,20221003,0,1,8,3,2,2,2,2,2,2,2,3,2,3,3
142,20221003,0,2,6,2,1,3,3,2,2,2,2,2,1,2,2
143,20221003,1,4,1,3,2,2,2,2,2,2,3,2,2,2,2
144,20221003,1,3,1,2,2,2,1,3,3,3,3,2,2,1,0
145,20221003,0,3,8,3,3,2,3,1,1,2,1,2,1,3,4
146,20221003,1,1,7,2,0,3,2,3,3,1,3,1,3,0,4
147,20221003,0,2,1,3,2,2,2,2,2,2,3,2,3,2,3
148,20221003,0,2,14,4,3,3,4,1,3,2,3,3,3,4,2
149,20221003,1,4,1,4,3,3,2,1,2,1,2,1,1,4,3
150,20221003,0,3,10,4,2,3,3,3,3,3,3,4,2,3,4
151,20221003,1,0,2,2,4,2,4,2,3,3,3,3,3,4,4
152,20221003,1,3,8,4,3,2,3,2,2,3,2,3,3,3,1
153,20221003,0,4,5,1,2,2,2,2,2,2,2,2,2,2,2
154,20221003,1,4,1,3,4,4,1,1,1,0,1,1,1,3,0
155,20221003,1,4,2,4,1,2,1,3,3,2,1,2,3,3,1
156,20221003,1,4,0,2,2,2,3,2,2,2,2,3,2,3,3
157,20221003,1,3,1,3,2,2,4,1,2,0,0,2,3,4,4
158,20221003,0,3,14,3,2,2,3,3,2,2,2,3,3,3,2
159,20221003,1,2,7,2,4,2,2,3,3,2,0,3,3,4,4
160,20221003,0,3,8,4,1,2,3,2,2,1,1,2,3,3,3
161,20221003,1,1,4,1,3,2,2,2,2,2,2,3,2,3,4
162,20221003,1,0,1,4,2,2,2,2,2,2,2,2,2,3,3
163,20221003,1,3,2,4,2,2,2,2,2,2,2,2,2,3,2
164,20221003,0,2,1,3,2,2,3,3,3,2,2,3,3,3,4
165,20221003,0,4,0,3,2,1,3,1,1,1,1,1,1,3,2
166,20221003,0,1,3,1,2,2,3,0,2,3,4,1,0,2,4
167,20221003,0,3,1,4,3,2,3,2,2,3,2,2,2,3,3
168,20221003,0,2,4,4,1,1,1,3,2,1,1,2,3,3,4
169,20221003,1,3,2,4,2,0,1,4,3,2,3,0,0,3,2
170,20221003,1,1,8,2,2,2,2,2,2,2,2,2,2,2,2
171,20221003,1,1,1,4,2,2,2,2,2,2,2,2,2,3,4
172,20221003,0,3,15,4,3,3,2,3,2,2,2,3,3,3,2
173,20221003,1,4,8,2,2,2,3,2,2,3,4,2,2,2,3
174,20221003,1,2,11,4,2,2,4,2,2,0,0,4,2,2,2
175,20221003,1,0,8,3,1,1,2,2,2,3,3,1,3,3,1
176,20221003,1,1,3,4,2,2,2,2,2,2,2,2,2,3,3
177,20221003,1,3,0,3,0,2,1,1,2,1,1,0,0,2,0
178,20221003,0,3,8,4,2,2,2,3,2,1,0,3,3,0,0
179,20221003,0,0,8,4,2,4,3,0,0,3,0,0,3,4,0
180,20221003,1,4,10,1,1,1,1,3,3,1,2,4,4,3,2
181,20221003,0,1,1,3,1,1,3,2,2,3,3,2,1,1,2
182,20221003,1,1,1,4,3,3,1,1,3,1,2,3,1,3,3
183,20221003,0,2,8,2,2,2,1,1,1,1,3,2,1,2,1
184,20221003,1,2,1,3,1,4,2,2,2,2,3,3,3,4,1
185,20221003,0,3,9,3,2,3,2,3,3,2,2,2,2,3,2
186,20221003,1,3,12,2,0,0,0,0,0,0,0,0,0,3,0
187,20221003,1,3,1,3,2,1,2,1,1,1,1,1,1,1,3
188,20221003,1,4,8,3,3,2,1,3,2,1,2,1,2,0,0
189,20221003,1,3,2,4,3,2,2,2,2,2,3,0,2,2,4
190,20221003,1,0,3,1,4,2,2,0,2,2,2,2,2,2,3
191,20221003,0,1,1,2,2,2,2,2,2,2,2,2,2,3,3
192,20221003,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2
193,20221003,1,4,1,4,3,2,2,2,3,2,2,3,3,3,3
194,20221003,1,0,1,3,0,0,3,0,0,1,0,1,0,0,1
195,20221003,1,3,2,2,4,2,2,2,2,2,2,3,2,2,3
196,20221003,1,0,8,4,4,4,4,4,4,4,4,4,4,4,4
197,20221003,1,4,8,1,2,2,3,1,3,0,0,0,2,2,1
198,20221003,1,3,2,3,0,0,3,0,0,2,2,1,0,0,1
200,20221003,1,2,8,4,2,2,2,3,3,2,3,3,3,3,3
201,20221003,0,2,1,3,0,3,2,2,2,1,1,3,1,1,3
202,20221003,1,3,1,3,2,2,3,2,2,2,2,3,2,3,4
203,20221003,1,1,12,3,2,3,3,3,2,3,3,3,3,3,4
204,20221003,1,2,1,4,2,2,4,2,2,2,2,2,2,1,4
205,20221003,0,2,7,3,2,2,2,2,2,2,2,2,2,2,2
206,20221003,0,1,8,4,1,0,3,0,0,2,0,0,0,0,3
207,20221003,1,2,4,1,4,3,2,3,3,1,0,2,2,3,4
208,20221003,0,2,9,3,4,4,0,0,0,2,0,0,0,1,4
209,20221003,0,1,8,4,2,2,2,2,2,2,2,2,2,2,1
212,20221003,1,1,1,1,1,3,3,2,0,1,0,3,3,4,4
213,20221003,0,3,1,2,3,3,2,3,3,3,2,2,2,3,2
214,20221003,1,2,5,1,3,2,2,2,2,2,3,2,2,3,3
215,20221003,1,2,10,3,2,1,3,2,3,3,3,3,3,2,3
216,20221003,1,3,10,2,2,2,2,3,2,2,2,2,2,3,3
217,20221003,0,4,1,4,2,3,2,3,2,2,2,3,3,3,2
218,20221003,1,4,10,2,2,2,2,2,3,3,0,4,3,2,2
219,20221003,0,2,15,2,2,2,3,3,2,2,1,1,2,3,4
220,20221003,0,4,1,2,0,2,3,2,2,2,0,2,3,4,3
221,20221003,1,4,0,3,2,3,3,3,2,2,2,3,3,3,2
222,20221003,0,1,8,2,2,2,2,2,2,2,2,2,2,3,3
223,20221003,1,4,7,4,3,3,3,3,3,4,3,3,3,3,3
224,20221003,1,1,3,3,4,4,2,2,2,3,2,3,2,3,0
225,20221003,0,3,3,1,3,2,3,3,1,2,4,1,1,3,3
226,20221003,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2
227,20221003,0,3,1,2,3,2,2,3,2,2,2,3,2,3,3
229,20221003,0,3,1,4,2,2,3,2,2,3,3,2,2,3,4
230,20221003,1,3,1,3,1,1,1,2,2,2,2,2,1,1,1
231,20221003,0,2,8,2,2,2,2,2,2,2,1,2,2,3,2
232,20221003,1,1,1,2,2,3,3,2,2,3,3,3,3,3,3
233,20221003,0,3,5,2,1,2,3,2,2,2,2,2,2,3,0
234,20221003,1,0,2,3,3,2,1,2,2,2,2,2,2,3,3
235,20221003,1,0,8,1,4,3,4,4,4,4,4,4,4,4,4
236,20221003,1,0,1,3,1,0,1,0,0,1,1,0,0,2,2
237,20221003,0,2,10,1,2,2,3,2,2,2,2,2,2,3,3
238,20221003,0,2,14,3,2,2,3,2,2,2,2,2,2,3,4
239,20221003,0,4,13,2,2,3,3,3,2,2,2,1,1,4,4
240,20221003,1,4,12,3,3,2,2,2,2,2,2,2,2,3,3
241,20221003,1,2,1,2,3,3,4,2,2,2,2,2,2,2,4
242,20221003,0,1,5,3,2,3,3,2,3,4,2,3,3,3,3
243,20221003,1,4,8,4,2,3,3,2,2,2,2,2,2,3,2
244,20221003,1,3,0,3,2,3,4,2,2,3,2,4,4,2,4
245,20221003,1,0,7,3,3,1,2,2,2,1,3,3,2,3,4
246,20221003,1,0,1,4,4,4,2,4,2,0,1,3,3,3,4
247,20221003,0,1,12,2,4,3,3,2,2,2,2,1,1,2,2
