RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE
359452,202210,1,0,1,0,0,0
359820,202210,1,0,1,2,2,0
368738,202210,1,0,8,2,2,0
394182,202210,1,0,8,3,3,0
407377,202210,1,0,1,1,1,0
408809,202210,1,0,1,0,0,0
420572,202210,1,0,3,3,3,0
421518,202210,1,0,1,3,3,0
427613,202210,1,0,1,1,1,2
428094,202210,1,0,1,0,0,0
429484,202210,1,0,8,2,2,0
429502,202210,1,0,13,1,1,0
431072,202210,1,0,1,2,2,0
431088,202210,1,0,1,3,3,0
432979,202210,1,0,1,3,3,3
435158,202210,1,0,1,0,0,0
438999,202210,1,0,1,0,0,0
449813,202210,1,0,1,2,2,0
53322198,202210,1,3,8,2,2,0
53322211,202210,1,2,8,1,1,0
53322214,202210,1,1,8,1,1,0
53322264,202210,0,3,8,0,0,0
53322285,202210,0,4,8,0,0,0
53322304,202210,0,4,8,1,1,0
53322319,202210,0,3,8,2,2,0
53322349,202210,0,4,8,2,2,0
53322367,202210,1,4,8,2,2,0
53322377,202210,1,2,8,3,3,0
53322432,202210,1,2,8,2,2,0
53322503,202210,0,3,8,3,3,0
53322513,202210,1,1,8,2,2,0
53322589,202210,0,4,8,2,2,1
53322646,202210,0,4,8,3,3,0
53322655,202210,0,4,8,1,1,0
53322725,202210,0,0,8,1,1,0
53322809,202210,1,0,8,0,0,0
53322811,202210,0,1,8,2,2,0
53322821,202210,1,1,8,1,1,0
53322843,202210,0,2,8,1,1,0
53322873,202210,1,0,8,3,3,0
53322943,202210,1,2,8,2,2,0
53322944,202210,0,4,8,2,2,0
53322973,202210,1,4,8,2,2,0
53322987,202210,1,0,8,3,3,0
53323023,202210,0,1,8,2,2,0
53323072,202210,1,0,8,0,0,0
53323104,202210,0,2,8,1,1,0
53323132,202210,0,3,1,3,3,3
53323164,202210,0,1,8,3,3,0
53323220,202210,1,3,8,2,2,0
53323247,202210,1,4,8,1,1,0
53323273,202210,1,0,8,0,0,0
53323293,202210,0,4,8,3,3,0
53323363,202210,1,4,8,3,3,0
53323375,202210,0,3,8,3,3,0
53323383,202210,1,2,8,3,3,0
53323412,202210,1,3,8,3,3,0
